Date,Inventory
2020-01-06,641
2020-01-13,780
2020-01-20,919
2020-01-27,1065
2020-02-03,1203
2020-02-10,1361
2020-02-17,1222
2020-02-24,1379
2020-03-02,1225
2020-03-09,1397
2020-03-16,1247
2020-03-23,1379
2020-03-30,1229
2020-04-06,1382
2020-04-13,1259
2020-04-20,1118
2020-04-27,1270
2020-05-04,1416
2020-05-11,1255
2020-05-18,1415
2020-05-25,1273
2020-06-01,1395
2020-06-08,1255
2020-06-15,1412
2020-06-22,1239
2020-06-29,1363
2020-07-06,1218
2020-07-13,1359
2020-07-20,1215
2020-07-27,1370
2020-08-03,1217
2020-08-10,1380
2020-08-17,1215
2020-08-24,1345
2020-08-31,1194
2020-09-07,1354
2020-09-14,1183
2020-09-21,1319
2020-09-28,1178
2020-10-05,1324
2020-10-12,1165
2020-10-19,1328
2020-10-26,1168
2020-11-02,1311
2020-11-09,1160
2020-11-16,1297
2020-11-23,1127
2020-11-30,1286
2020-12-07,1139
2020-12-14,1296
2020-12-21,1162
2020-12-28,1300
2021-01-04,1159
2021-01-11,1281
2021-01-18,1122
2021-01-25,1245
2021-02-01,1392
2021-02-08,1237
2021-02-15,1372
2021-02-22,1233
2021-03-01,1398
2021-03-08,1260
2021-03-15,1393
2021-03-22,1244
2021-03-29,1409
2021-04-05,1267
2021-04-12,1410
2021-04-19,1246
2021-04-26,1390
2021-05-03,1242
2021-05-10,1373
2021-05-17,1240
2021-05-24,1397
2021-05-31,1226
2021-06-07,1377
2021-06-14,1199
2021-06-21,1346
2021-06-28,1200
2021-07-05,1350
2021-07-12,1210
2021-07-19,1362
2021-07-26,1217
2021-08-02,1387
2021-08-09,1220
2021-08-16,1361
2021-08-23,1220
2021-08-30,1373
2021-09-06,1203
2021-09-13,1365
2021-09-20,1208
2021-09-27,1355
2021-10-04,1204
2021-10-11,1369
2021-10-18,1247
2021-10-25,1403
2021-11-01,1256
2021-11-08,1123
2021-11-15,1274
2021-11-22,1117
2021-11-29,1253
2021-12-06,1382
2021-12-13,1219
2021-12-20,1357
2021-12-27,1205
2022-01-03,1351
2022-01-10,1199
2022-01-17,1362
2022-01-24,1217
2022-01-31,1371
2022-02-07,1215
2022-02-14,1372
2022-02-21,1225
2022-02-28,1346
2022-03-07,1191
2022-03-14,1348
2022-03-21,1182
2022-03-28,1337
2022-04-04,1189
2022-04-11,1341
2022-04-18,1201
2022-04-25,1334
2022-05-02,1180
2022-05-09,1338
2022-05-16,1165
2022-05-23,1330
2022-05-30,1160
2022-06-06,1306
2022-06-13,1165
2022-06-20,1312
2022-06-27,1175
2022-07-04,1326
2022-07-11,1184
2022-07-18,1337
2022-07-25,1156
2022-08-01,1304
2022-08-08,1152
2022-08-15,1290
2022-08-22,1127
2022-08-29,1281
2022-09-05,1149
2022-09-12,1273
2022-09-19,1414
2022-09-26,1253
2022-10-03,1124
2022-10-10,1286
2022-10-17,1138
2022-10-24,1309
2022-10-31,1160
2022-11-07,1288
2022-11-14,1160
2022-11-21,1300
2022-11-28,1161
2022-12-05,1325
2022-12-12,1181
2022-12-19,1323
2022-12-26,1167
2023-01-02,1294
2023-01-09,1144
2023-01-16,1295
2023-01-23,1156
2023-01-30,1297
2023-02-06,1153
2023-02-13,1317
2023-02-20,1160
2023-02-27,1312
2023-03-06,1153
2023-03-13,1312
2023-03-20,1163
2023-03-27,1321
2023-04-03,1178
2023-04-10,1316
2023-04-17,1160
2023-04-24,1296
2023-05-01,1141
2023-05-08,1306
2023-05-15,1192
2023-05-22,1339
2023-05-29,1165
2023-06-05,1304
2023-06-12,1142
2023-06-19,1297
2023-06-26,1139
2023-07-03,1289
2023-07-10,1132
2023-07-17,1266
2023-07-24,1413
2023-07-31,1284
2023-08-07,1150
2023-08-14,1303
2023-08-21,1151
2023-08-28,1285
2023-09-04,1139
2023-09-11,1297
2023-09-18,1137
2023-09-25,1275
2023-10-02,1400
2023-10-09,1237
2023-10-16,1412
2023-10-23,1258
2023-10-30,1401
2023-11-06,1258
2023-11-13,1402
2023-11-20,1249
2023-11-27,1404
2023-12-04,1238
2023-12-11,1376
2023-12-18,1207
2023-12-25,1342
2024-01-01,1189
2024-01-08,1342
2024-01-15,1171
2024-01-22,1331
2024-01-29,1160
2024-02-05,1295
2024-02-12,1153
2024-02-19,1303
2024-02-26,1144
2024-03-04,1283
2024-03-11,1119
2024-03-18,1255
2024-03-25,1401
2024-04-01,1247
2024-04-08,1403
2024-04-15,1254
2024-04-22,1406
2024-04-29,1246
2024-05-06,1121
2024-05-13,1295
2024-05-20,1145
2024-05-27,1298
2024-06-03,1165
2024-06-10,1322
2024-06-17,1167
2024-06-24,1338
2024-07-01,1187
2024-07-08,1340
2024-07-15,1191
2024-07-22,1329
2024-07-29,1176
2024-08-05,1303
2024-08-12,1167
2024-08-19,1299
2024-08-26,1156
2024-09-02,1297
2024-09-09,1147
2024-09-16,1287
2024-09-23,1136
2024-09-30,1286
2024-10-07,1165
2024-10-14,1306
2024-10-21,1169
2024-10-28,1322
2024-11-04,1166
2024-11-11,1305
2024-11-18,1152
2024-11-25,1267
2024-12-02,1118
2024-12-09,1271
2024-12-16,1414
2024-12-23,1263
2024-12-30,1119
2025-01-06,1233
2025-01-13,1380
2025-01-20,1234
2025-01-27,1377
2025-02-03,1230
2025-02-10,1377
2025-02-17,1223
2025-02-24,1392
2025-03-03,1250
2025-03-10,1405
2025-03-17,1271
2025-03-24,1121
2025-03-31,1267
